Bowler_name,avgScore,avgStrikeRate,CLUSTER
Biplab Bipin Samantray,539,22,6.35,1
Siddharth Kaul,864,47,6.54,1
Taduri Prakashchandra Sudhindra,637,35,6.75,1
Anand Rajan,689,47,6.82,1
Parvez Rasool Zarghav,810,27,6.88,1
Francois du Plessis,790,50,6.96,1
Ali Ghulam Murtaza,654,32,6.98,1
Jalaj Sahay Saxena,611,32,7.01,1
Kane Stuart Williamson,716,27,7.07,1
Balachandra Akhil,535,24,7.15,1
Kuldeep Yadav,520,37,7.2,1
Shoaib Akhtar,804,44,7.29,1
Ankit Nagendra Sharma,799,33,7.32,1
Vikramjeet Malik,827,44,7.34,1
Sanjay Bapusaheb Bangar,578,31,7.35,1
Ashley Allan Noffke,634,38,7.46,1
Andrew Flintoff,657,39,7.55,1
Shrikant Bhaskar Wagh,629,39,7.55,1
Steven Peter Devereux Smith,785,51,7.58,1
Jamaluddin Syed Mohammad,750,35,7.59,1
Pankaj Singh,845,33,7.61,1
Mohammad Asif,832,50,7.62,1
Bhargav Ashokbhai Bhatt,684,41,7.66,1
Shane Michael Harwood,845,48,7.66,1
Sumit Narwal,643,27,7.68,1
Amit Singh,628,34,7.69,1
Dominic John Thornely,533,28,7.71,1
Prasanth Parameswaran,707,33,7.74,1
Barinder Sran,519,28,7.75,1
Gurinder Singh Sandhu,540,23,7.78,1
Harmeet Singh Bansal,594,27,7.8,1
Rohit Gurunath Sharma,628,29,7.8,1
Ammana Ashish Reddy,826,53,7.83,1
Saurabh Sushant Bandekar,568,38,7.85,1
Raiphi Vincent Gomez,552,17,7.88,1
Kemar Andre Jamal Roach,864,27,7.9,1
Sourav Chandidas Ganguly,573,29,7.91,1
Adam Charles Voges,542,26,7.94,1
Vikram Rajvir Singh,667,31,7.97,1
Kathuria Anureet Singh,878,42,8.13,1
Mitchell Ross Marsh,695,37,8.14,1
Rahul Artiprasad Shukla,529,24,8.22,1
Beuran Eric Hendricks,876,61,8.23,1
Abhimanyu Mithun,834,41,8.26,1
Abhishek Mohan Nayar,553,22,8.35,1
Corey James Anderson,564,24,8.56,1
Michael Gertges Neser,576,32,8.64,1
Douglas Andrew John Bracewell,797,52,8.79,1
Sean Anthony Abbott,703,36,8.83,1
