Bowler_name,avgScore,avgStrikeRate,CLUSTER
Adam Craig Gilchrist,1,1,0.0,3
Aiden Craig Blizzard,6,0,10.0,3
Rajesh Kinyaram Bishnoi,6,0,10.0,3
Shoaib Shabbir Shaikh,84,4,10.07,3
Nitish Rana,36,1,10.16,3
Aditya Pradeep Dole,66,5,10.18,3
Tatenda Taibu,24,0,10.25,3
David Andrew Miller,18,0,10.33,3
Ben Robert Dunk,12,0,10.5,3
Jagrit Anand,19,0,10.73,3
Michael John Lumb,36,3,10.83,3
Ryan Ninan,36,3,10.83,3
Bharat Chipli,24,1,11.0,3
Konda Bhaskar Arun Karthik,24,2,11.0,3
Rahil Akhilahmed Shaikh,6,0,11.0,3
Robin Venu Uthappa,6,0,11.0,3
Ricky Thomas Ponting,12,1,11.5,3
Ben James Rohrer,6,0,12.0,3
George John Bailey,12,0,12.0,3
Michael John Buchanan,12,1,12.0,3
Mahendra Singh Dhoni,12,0,12.5,3
David Andrew Warner,6,0,13.0,3
Robert John Quiney,6,0,13.0,3
David Johan Jacobs,6,0,14.0,3
Hashim Mahomed Amla,2,0,15.0,3
Udit Alok Birla,6,0,24.0,3
Ajinkya Madhukar Rahane,6,1,5.0,3
Krishankumar Dinesh Karthik,12,1,5.0,3
Michael Edward Killeen Hussey,6,0,5.0,3
Harpreet Singh Bhatia,126,6,5.38,3
Abhinav Mukund,105,11,5.77,3
Mandeep Singh,195,13,5.93,3
Timil Kaushik Patel,134,10,6.31,3
Suryakumar Ashok Yadav,132,6,6.36,3
Visvajitsinh Dilipsinh Solanki,153,6,6.43,3
Shaun Edward Marsh,12,0,6.5,3
Tanmay Manoj Srivastava,24,0,6.5,3
Taruwar Kohli,191,9,6.81,3
Ishank Rajiv Jaggi,73,2,6.82,3
Murali Vijay,60,0,6.8,3
Karun Kaladharan Nair,48,2,6.87,3
Vidyut Sivaramakrishnan,210,14,6.91,3
Karan Goel,193,10,7.02,3
Denagamage Proboth Mahela de Silva Jayawardene,69,3,7.13,3
Christopher Austin Lynn,78,3,7.15,3
Ramnaresh Ronnie Sarwan,18,2,7.33,3
Subramaniam Badrinath,18,1,7.33,3
Faiz Yakub Fazal,144,10,7.37,3
Gurkeerat Singh Mann,120,6,7.4,3
Rahul Tewatia,72,3,7.5,3
Manish Krishnanand Pandey,168,10,7.57,3
Ronit Gajanan More,209,6,7.66,3
Pardeep Sahu,129,4,7.67,3
Rohan Sunil Gavaskar,87,3,7.72,3
Salman Butt,108,5,7.83,3
Mohammad Younis Khan,104,6,7.84,3
Reetinder Singh Sodhi,96,5,7.87,3
Shivam Sharma,163,9,7.91,3
Sachin Ramesh Tendulkar,93,2,7.93,3
Akashdeep Deependra Nath,126,8,8.0,3
Mayank Anurag Agarwal,6,0,8.0,3
Sanju Viswanath Samson,3,1,8.0,3
Lee Andrew Carseldine,84,7,8.07,3
Sridharan Sriram,168,4,8.1,3
Rajesh Vithal Pawar,132,6,8.13,3
Owais Alam Shah,57,5,8.21,3
Ishwar Haribhai Chaudhary,136,9,8.25,3
Mithun Manhas,104,5,8.25,3
Shikhar Dhawan,48,4,8.25,3
Abrar Anjum Kazi,66,2,8.27,3
Tanmay Mishra,42,3,8.28,3
Dharaka Bhanidipati Ravi Teja,108,4,8.33,3
Shivil Kaushik,138,6,8.34,3
Ishan Malhotra,96,4,8.37,3
Vikrant Shyam Yeligati,78,2,8.38,3
Patangay Manikrao Sarvesh Kumar,30,1,8.4,3
Konganda Charamanna Cariappa,204,11,8.44,3
Abhishek Santosh Raut,152,9,8.48,3
Sachin Baby,94,3,8.48,3
Abhishek Arunkumar Jhunjhunwala,121,3,8.52,3
Mohnish Bipinbhai Parmar,138,4,8.52,3
Yalaka Gnaneswara Rao,114,1,8.52,3
Harmeet Singh Baddhan,24,1,8.5,3
Musavir Asmat Khote,132,6,8.5,3
Kamran Khan,208,12,8.65,3
Chamara Kantha Kapugedera,112,7,8.67,3
Bodapati Apparao Sumanth,24,0,8.75,3
Amit Uniyal,60,5,8.8,3
Kedar Mahadeo Jadhav,60,4,8.8,3
Travis Michael Head,109,6,8.8,3
Vijay Shankar,201,8,8.92,3
Syed Mohammad Shoaib Ahmed,102,5,8.94,3
Lindamlilage Prageeth Chamara Silva,24,1,9.0,3
Luteru Ross Poutoa Lote Taylor,186,8,9.03,3
Graeme Craig Smith,96,4,9.25,3
Farhaan Behardien,114,5,9.26,3
Aaron James Finch,203,6,9.39,3
Martin James Guptill,12,0,9.5,3
Siddharth Dilip Chitnis,72,4,9.5,3
Sourav Subrata Sarkar,79,2,9.64,3
Simon Mathew Katich,18,0,9.66,3
Asadullah Khan Pathan,39,0,9.69,3
Dinesh Salunkhe,48,1,9.75,3
