Bowler_name,avgScore,avgStrikeRate,CLUSTER
Sunil Philip Narine,4478,241,5.68,8
Sahibzada Mohammad Shahid Khan Afridi,4842,240,6.64,8
Separamadu Lasith Malinga Swarnajith,4835,299,6.69,8
Ravichandran Ashwin,4150,200,6.74,8
Shakib Al Hasan,4419,242,6.75,8
Harbhajan Singh,4302,190,6.7,8
Sohail Tanvir,4892,238,7.23,8
Dirk Peter Nannes,4624,257,7.42,8
Alfonso Clive Thomas,4558,263,7.55,8
Azhar Mahmood Sagar,4825,258,7.63,8
Johannes Albertus Morkel,4697,230,7.66,8
