Bowler_name,avgScore,avgStrikeRate,CLUSTER
Padmanabhan Prasanth,955,63,5.98,6
Mohammad Mustafizur Rahman,943,57,6.33,6
Yusuf Adam Abdulla,1187,63,6.3,6
Shaun Maclean Pollock,937,45,6.37,6
Bipul Sharma,1096,57,6.54,6
Anil Kumble,1245,57,6.69,6
Andre Nel,1240,37,6.74,6
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,64,6.77,6
Nayan Dilip Doshi,1008,68,6.8,6
Pravin Vijay Tambe,1140,59,7.03,6
Adam Zampa,1083,64,7.0,6
Shane Edward Bond,939,51,7.08,6
Laxmi Ratan Shukla,976,47,7.11,6
Suresh Kumar Raina,1305,50,7.14,6
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,1092,61,7.18,6
Joginder Sharma,1123,55,7.18,6
Tabraiz Shamsi,1195,57,7.21,6
Ishwar Chand Pandey,900,43,7.22,6
Sandeep Sharma,1268,70,7.37,6
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,1116,57,7.41,6
Magina Thilan Thushara Mirando,1066,67,7.42,6
Rishi Dhawan,1270,50,7.4,6
Makhaya Ntini,1263,63,7.48,6
Pawan Negi,1049,48,7.48,6
Justin Miles Kemp,1016,56,7.51,6
Stuart Terence Roger Binny,1033,47,7.54,6
Carlos Ricardo Brathwaite,1093,48,7.5,6
Pradeep Sangwan,1300,61,7.56,6
Patrick James Cummins,1093,57,7.62,6
Hardik Himanshu Pandya,1009,45,7.64,6
Harshal Vikrambhai Patel,1211,55,7.65,6
Adam Fraser Milne,1200,64,7.71,6
Vijaykumar Yo Mahesh,929,52,7.72,6
Abu Nachim Ahmed,1051,48,7.78,6
Mohammed Shami,1053,60,7.84,6
Bradley John Hodge,1110,65,7.8,6
Congenige Randhi Dilhara Fernando,1187,74,7.8,6
Sreenath Aravind,1211,72,7.8,6
Jesse Daniel Ryder,915,33,7.86,6
Trent Alexander Boult,1083,52,7.94,6
Kane William Richardson,1184,61,8.01,6
Andrew Symonds,1237,52,8.03,6
Ajit Bhalchandra Agarkar,1172,47,8.23,6
Shanthakumaran Sreesanth,1192,50,8.25,6
Varun Raymond Aaron,970,40,8.2,6
Benjamin Colin James Cutting,1047,47,8.41,6
James Douglas Sheehan Neesham,991,57,8.62,6
Christopher James Jordan,1219,61,8.64,6
Marchant de Lange,968,53,8.76,6
