Bowler_name,avgScore,avgStrikeRate,CLUSTER
Jayant Yadav,502,15,5.97,9
Ajit Chandila,472,24,6.31,9
Chandrasekharan Ganapathy,496,33,6.42,9
Ashok Lakshminarayan Menaria,445,17,6.51,9
Lovesh Ablash,456,36,6.56,9
Krunal Himashu Pandya,449,22,6.61,9
Darren Scott Lehmann,228,11,6.73,9
Sachin Rana,357,20,6.77,9
Sunny Suresh Gupta,254,8,6.77,9
Glenn Donald McGrath,432,20,6.83,9
Gade Hanuma Vihari,240,16,6.85,9
Yashpal Singh,218,9,6.85,9
Chetanya Nanda,366,18,6.91,9
Demuni Nuwan Tharanga Zoysa,324,21,6.96,9
Swapnil Kamlesh Singh,432,28,7.06,9
Rujul Haren Bhatt,329,13,7.13,9
Murugan Ashwin,309,17,7.14,9
Sunil Bandacharya Joshi,283,13,7.16,9
Wilkin Arvind Mota,249,11,7.18,9
Rajagopal Sathish,487,20,7.23,9
Gagandeep Singh Toor,306,12,7.25,9
Ankitsingh Rajpoot,439,25,7.28,9
Yogesh Nagar,285,21,7.36,9
Ramesh Rajaram Powar,450,14,7.49,9
Domnic Joseph Muthuswami,425,22,7.51,9
Colin Alexander Ingram,272,15,7.54,9
Deepak Hooda,277,7,7.64,9
Raju Ravi Bhatkal,297,17,7.65,9
Kotragada Prabhu Appanna,414,21,7.68,9
Daniel Joseph Harris,400,21,7.75,9
Krishnakant Rameshwar Upadhyay,421,20,7.76,9
Shardul Narendra Thakur,262,16,7.78,9
Jagadeesha Suchith,432,18,7.83,9
Rohan Ravindra Raje,511,30,7.83,9
Ramsawamy Shreyas Gopal,217,12,7.85,9
Marcus Peter Stoinis,264,19,7.88,9
Sudeep Tyagi,364,16,7.91,9
Tirumalasetti Laxminarayana Suman,426,17,7.92,9
Pawan Suyal,353,12,7.93,9
Mohammad Ashraful,335,23,7.95,9
Manoj Kumar Tiwary,318,16,7.96,9
Ankeet Anil Chavan,476,19,7.97,9
Adam John Hollioake,385,40,8.02,9
Scott Michael Boland,396,21,8.03,9
Michael John Clarke,273,9,8.08,9
Jaskaran Singh Butta,275,12,8.09,9
Kevin Peter Pietersen,396,17,8.09,9
Shrikant Shrihari Mundhe,463,26,8.11,9
Aavishkar Madhav Salvi,389,18,8.12,9
Paidikalva David Vijaykumar,342,10,8.17,9
Deepak Lokandersingh Chahar,234,6,8.1,9
Virender Sehwag,358,22,8.31,9
Veer Pratap Singh,300,14,8.34,9
Paul Chandrasekhar Valthaty,247,11,8.3,9
Sarabjit Singh Ladda,234,10,8.41,9
Ranadeb Ranjit Bose,234,11,8.56,9
Lendl Mark Platter Simmons,370,22,8.62,9
Shalabh Jagdishprasad Srivastava,452,20,8.66,9
Niraj Kanubhai Patel,222,11,8.67,9
Virat Kohli,454,8,8.73,9
Cameron Leon White,484,26,8.77,9
Yalaka Venugopal Rao,306,8,8.78,9
Doddapaneni Kalyankrishna,240,11,8.82,9
Karanveer Singh,302,18,8.96,9
Brett Geeves,302,19,9.15,9
Palani Amarnath,318,19,9.2,9
Colin Munro,286,12,9.69,9
