Bowler_name,avgScore,avgStrikeRate,CLUSTER
Daniel Luca Vettori,3236,131,6.34,4
Muttiah Muralitharan,3705,179,6.38,4
Johan Botha,3672,146,6.42,4
Dale Willem Steyn,3975,201,6.67,4
Amit Mishra,3569,199,7.03,4
Ravinder Singh Bopara,3262,165,7.35,4
Piyush Pramod Chawla,3684,182,7.38,4
Morne Morkel,3526,174,7.42,4
Praveenkumar Sakat Singh,3423,130,7.42,4
Irfan Khan Pathan,3283,161,7.53,4
Shane Robert Watson,3490,172,7.68,4
Shaun William Tait,3600,214,7.89,4
Kieron Adrian Pollard,3854,219,8.01,4
Andre Dwayne Russell,3779,201,8.13,4
