Bowler_name,avgScore,avgStrikeRate,CLUSTER
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1912,97,6.38,2
Shahbaz Nadeem,1812,70,6.59,2
Munaf Musa Patel,2039,100,6.84,2
Krishmar Santokie,1988,144,6.86,2
Bhuvneshwar Kumar Singh,2229,108,7.06,2
Mitchell Aaron Starc,1860,127,7.14,2
Rajat Bhatia,2364,103,7.17,2
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,2081,111,7.19,2
Tyron Henderson,1824,93,7.22,2
Jasprit Jasbirsingh Bumrah,1832,95,7.23,2
Angelo Davis Mathews,1933,78,7.27,2
Christopher Henry Gayle,1864,77,7.54,2
Fidel Henderson Edwards,1778,84,7.57,2
Johannes Jacobus van der Wath,2185,108,7.58,2
Ashok Bhimchandra Dinda,2305,117,7.61,2
Charl Kenneth Langeveldt,2332,138,7.62,2
Yusuf Khan Pathan,2121,94,7.66,2
Siddharth Kishorkumar Trivedi,2103,103,7.68,2
Dhawal Sunil Kulkarni,1936,104,7.7,2
Mashrafe Bin Mortaza,2151,84,7.73,2
Lakshmipathy Balaji,2161,126,7.76,2
Ben Laughlin,1846,109,7.77,2
Clinton James McKay,2061,117,7.84,2
Jacob David Philip Oram,1839,81,7.84,2
Mitchell Guy Johnson,1804,94,7.84,2
Dwayne Romel Smith,1992,99,7.85,2
Ishant Sharma,2239,84,7.85,2
Kyle John Abbott,1905,87,7.93,2
Mitchell John McClenaghan,2169,134,7.98,2
Ryan Neil ten Doeschate,2011,104,8.06,2
Moises Constantino Henriques,2072,101,8.12,2
Umeshkumar Tilak Yadav,1989,92,8.17,2
David Wiese,1821,109,8.25,2
James Edward Charles Franklin,2123,96,8.28,2
Luke James Wright,1799,79,8.54,2
