RPSBattingOrder,AM Rahane,SS Tiwary,SPD Smith,PSP Handscomb,MS Dhoni,NLTC Perera,R Bhatia,Scott Michael Boland,R Ashwin,AB Dinda,M Ashwin,,,,,,,,,
RPSBowlingOrder,NLTC Perera,AB Dinda,NLTC Perera,AB Dinda,Scott Michael Boland,NLTC Perera,R Bhatia,R Ashwin,R Bhatia,R Ashwin,Scott Michael Boland,R Ashwin,M Ashwin,R Bhatia,NLTC Perera,M Ashwin,Scott Michael Boland,AB Dinda,M Ashwin,AB Dinda
RPSBowlers,NLTC Perera,AB Dinda,Scott Michael Boland,R Bhatia,R Ashwin,M Ashwin,,,,,,,,,,,,,,
MIBattingOrder,RG Sharma,PA Patel,AT Rayudu,JC Buttler,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,JJ Bumrah,TG Southee,MJ McClenaghan,,,,,,,,,
MIBowlingOrder,TG Southee,MJ McClenaghan,TG Southee,MJ McClenaghan,KH Pandya,JJ Bumrah,KH Pandya,HH Pandya,Harbhajan Singh,JJ Bumrah,Harbhajan Singh,TG Southee,Harbhajan Singh,MJ McClenaghan,Harbhajan Singh,HH Pandya,TG Southee,JJ Bumrah,MJ McClenaghan,JJ Bumrah
MIBowlers,TG Southee,MJ McClenaghan,KH Pandya,JJ Bumrah,HH Pandya,Harbhajan Singh,,,,,,,,,,,,,,
Teams,Rising Pune Supergiants,Mumbai Indians,,,,,,,,,,,,,,,,,,
