MIBattingOrder,LMP Simmons,RG Sharma,HH Pandya,JC Buttler,AT Rayudu,KA Pollard,S Gopal,Harbhajan Singh,R Vinay Kumar,MJ McClenaghan,JJ Bumrah,,,,,,,,,
MIBowlingOrder,MJ McClenaghan,JJ Bumrah,MJ McClenaghan,JJ Bumrah,MJ McClenaghan,JJ Bumrah,R Vinay Kumar,S Gopal,R Vinay Kumar,Harbhajan Singh,S Gopal,Harbhajan Singh,S Gopal,Harbhajan Singh,HH Pandya,JJ Bumrah,HH Pandya,MJ McClenaghan,HH Pandya,R Vinay Kumar
MIBowlers,MJ McClenaghan,JJ Bumrah,R Vinay Kumar,S Gopal,Harbhajan Singh,HH Pandya,,,,,,,,,,,,,,
RPSBattingOrder,AM Rahane,F du Plessis,KP Pietersen,MS Dhoni,SPD Smith,R Bhatia,MR Marsh,R Ashwin,I Sharma,M Ashwin,RP Singh,,,,,,,,,
RPSBowlingOrder,RP Singh,I Sharma,RP Singh,I Sharma,MR Marsh,I Sharma,MR Marsh,R Bhatia,MR Marsh,R Bhatia,M Ashwin,R Bhatia,M Ashwin,R Bhatia,M Ashwin,R Ashwin,M Ashwin,MR Marsh,RP Singh,I Sharma
RPSBowlers,RP Singh,I Sharma,MR Marsh,R Bhatia,M Ashwin,R Ashwin,,,,,,,,,,,,,,
Teams,Mumbai Indians,Rising Pune Supergiants,,,,,,,,,,,,,,,,,,
