KXIPBattingOrder,M Vijay,M Vohra,DA Miller,GJ Maxwell,WP Saha,MP Stoinis,AR Patel,MG Johnson,P Sahu,MM Sharma,Sandeep Sharma,,,,,,,,,
KXIPBowlingOrder,Sandeep Sharma,MG Johnson,Sandeep Sharma,MM Sharma,MG Johnson,MP Stoinis,AR Patel,MP Stoinis,AR Patel,P Sahu,Sandeep Sharma,P Sahu,MM Sharma,P Sahu,MG Johnson,P Sahu,MG Johnson,MP Stoinis,MM Sharma,MP Stoinis
KXIPBowlers,Sandeep Sharma,MG Johnson,MM Sharma,MP Stoinis,AR Patel,P Sahu,,,,,,,,,,,,,,
GLBattingOrder,AJ Finch,BB McCullum,SK Raina,KD Karthik,RA Jadeja,Ishan Kishan,DJ Bravo,JP Faulkner,P Kumar,PJ Sangwan,S Ladda,,,,,,,,,
GLBowlingOrder,P Kumar,PJ Sangwan,P Kumar,PJ Sangwan,JP Faulkner,S Ladda,RA Jadeja,S Ladda,RA Jadeja,DJ Bravo,RA Jadeja,DJ Bravo,RA Jadeja,DJ Bravo,JP Faulkner,P Kumar,JP Faulkner,P Kumar,JP Faulkner,DJ Bravo
GLBowlers,P Kumar,PJ Sangwan,JP Faulkner,S Ladda,RA Jadeja,DJ Bravo,,,,,,,,,,,,,,
Teams,Kings XI Punjab,Gujarat Lions,,,,,,,,,,,,,,,,,,
