KXIPBattingOrder,M Vijay,M Vohra,SE Marsh,DA Miller,GJ Maxwell,AR Patel,WP Saha,MG Johnson,MM Sharma,P Sahu,Sandeep Sharma,,,,,,,,,
KXIPBowlingOrder,Sandeep Sharma,MG Johnson,Sandeep Sharma,MM Sharma,AR Patel,MG Johnson,P Sahu,AR Patel,P Sahu,MM Sharma,GJ Maxwell,MG Johnson,AR Patel,P Sahu,GJ Maxwell,MG Johnson,AR Patel,GJ Maxwell,P Sahu,MM Sharma
KXIPBowlers,Sandeep Sharma,MG Johnson,MM Sharma,AR Patel,P Sahu,GJ Maxwell,,,,,,,,,,,,,,
DDBattingOrder,Q de Kock,SS Iyer,SV Samson,P Negi,KK Nair,JP Duminy,CR Brathwaite,CH Morris,A Mishra,J Yadav,Z Khan,,,,,,,,,
DDBowlingOrder,Z Khan,P Negi,Z Khan,CH Morris,Z Khan,CR Brathwaite,A Mishra,CH Morris,A Mishra,J Yadav,A Mishra,J Yadav,CR Brathwaite,J Yadav,CR Brathwaite,J Yadav,CH Morris,Z Khan,CH Morris,CR Brathwaite
DDBowlers,Z Khan,P Negi,CH Morris,CR Brathwaite,A Mishra,J Yadav,,,,,,,,,,,,,,
Teams,Kings XI Punjab,Delhi Daredevils,,,,,,,,,,,,,,,,,,
