RCBBattingOrder,CH Gayle,V Kohli,AB de Villiers,SR Watson,SN Khan,KM Jadhav,STR Binny,Parvez Rasool,HV Patel,Adam Fraser Milne,YS Chahal,,,,,,,,,
RCBBowlingOrder,Adam Fraser Milne,SR Watson,Adam Fraser Milne,Parvez Rasool,HV Patel,Parvez Rasool,HV Patel,YS Chahal,SR Watson,YS Chahal,Adam Fraser Milne,YS Chahal,Parvez Rasool,YS Chahal,Parvez Rasool,SR Watson,HV Patel,Adam Fraser Milne,HV Patel,SR Watson
RCBBowlers,Adam Fraser Milne,SR Watson,Parvez Rasool,HV Patel,YS Chahal,,,,,,,,,,,,,,,
SRHBattingOrder,DA Warner,S Dhawan,MC Henriques,NV Ojha,DJ Hooda,EJG Morgan,A Ashish Reddy,KV Sharma,A Nehra,B Kumar,Mohammad Mustafizur Rahman,,,,,,,,,
SRHBowlingOrder,A Nehra,B Kumar,Mohammad Mustafizur Rahman,A Nehra,B Kumar,Mohammad Mustafizur Rahman,MC Henriques,KV Sharma,MC Henriques,KV Sharma,A Ashish Reddy,MC Henriques,KV Sharma,MC Henriques,A Ashish Reddy,B Kumar,KV Sharma,Mohammad Mustafizur Rahman,B Kumar,Mohammad Mustafizur Rahman
SRHBowlers,A Nehra,B Kumar,Mohammad Mustafizur Rahman,MC Henriques,KV Sharma,A Ashish Reddy,,,,,,,,,,,,,,
Teams,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,,,,,,,,,
