Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Shrikant Shrihari Mundhe,463,1,626,26,3-22,24.07,0,0,17.8,8.11
Siddharth Dilip Chitnis,72,0,114,4,2-40,28.5,0,0,18,9.5
Siddharth Kaul,864,2,942,47,4-14,20.04,1,0,18.38,6.54
Siddharth Kishorkumar Trivedi,2103,3,2692,103,4-25,26.13,3,0,20.41,7.68
Simon Mathew Katich,18,0,29,0,0-4,NA,NA,NA,NA,9.66
Sohail Tanvir,4892,8,5903,238,6-14,24.8,4,1,20.55,7.23
Sourav Chandidas Ganguly,573,1,756,29,3-27,26.06,0,0,19.75,7.91
Sourav Subrata Sarkar,79,0,127,2,1-15,63.5,0,0,39.5,9.64
Sreenath Aravind,1211,0,1576,72,4-14,21.88,3,0,16.81,7.8
Sridharan Sriram,168,0,227,4,1-19,56.75,0,0,42,8.1
Steven Peter Devereux Smith,785,1,992,51,4-13,19.45,2,0,15.39,7.58
Stuart Terence Roger Binny,1033,1,1299,47,4-14,27.63,1,0,21.97,7.54
Subramaniam Badrinath,18,0,22,1,1-16,22,0,0,18,7.33
Sudeep Tyagi,364,1,480,16,4-45,30,1,0,22.75,7.91
Sumit Narwal,643,4,824,27,3-15,30.51,0,0,23.81,7.68
Sunil Bandacharya Joshi,283,0,338,13,2-11,26,0,0,21.76,7.16
Sunil Philip Narine,4478,17,4245,241,5-19,17.61,10,1,18.58,5.68
Sunny Suresh Gupta,254,0,287,8,2-15,35.87,0,0,31.75,6.77
Suresh Kumar Raina,1305,0,1553,50,4-26,31.06,1,0,26.1,7.14
Suryakumar Ashok Yadav,132,0,140,6,2-11,23.33,0,0,22,6.36
Swapnil Kamlesh Singh,432,0,509,28,6-19,18.17,0,1,15.42,7.06
Syed Mohammad Shoaib Ahmed,102,0,152,5,2-20,30.4,0,0,20.4,8.94
Tabraiz Shamsi,1195,1,1436,57,4-10,25.19,2,0,20.96,7.21
Taduri Prakashchandra Sudhindra,637,3,717,35,5-30,20.48,1,1,18.2,6.75
Tanmay Manoj Srivastava,24,0,26,0,0-13,NA,NA,NA,NA,6.5
Tanmay Mishra,42,0,58,3,3-25,19.33,0,0,14,8.28
Taruwar Kohli,191,0,217,9,2-20,24.11,0,0,21.22,6.81
Tatenda Taibu,24,0,41,0,0-20,NA,NA,NA,NA,10.25
Tillakaratne Mudiyanselage Dilshan,1564,1,1892,64,3-16,29.56,0,0,24.43,7.25
Timil Kaushik Patel,134,0,141,10,3-13,14.1,0,0,13.4,6.31
Timothy Grant Southee,2591,7,3532,135,6-16,26.16,0,2,19.19,8.17
Tirumalasetti Laxminarayana Suman,426,0,563,17,2-14,33.11,0,0,25.05,7.92
Travis Michael Head,109,0,160,6,3-16,26.66,0,0,18.16,8.8
Trent Alexander Boult,1083,3,1434,52,3-19,27.57,0,0,20.82,7.94
Tyron Henderson,1824,6,2195,93,4-29,23.6,1,0,19.61,7.22
Udit Alok Birla,6,0,24,0,0-24,NA,NA,NA,NA,24
Umar Gul,2932,10,3602,188,5-6,19.15,8,2,15.59,7.37
Umeshkumar Tilak Yadav,1989,5,2711,92,5-18,29.46,1,1,21.61,8.17
Varun Raymond Aaron,970,2,1327,40,3-16,33.17,0,0,24.25,8.2
Veer Pratap Singh,300,1,417,14,2-19,29.78,0,0,21.42,8.34
Vidyut Sivaramakrishnan,210,0,242,14,4-24,17.28,1,0,15,6.91
Vijay Shankar,201,0,299,8,2-12,37.37,0,0,25.12,8.92
Vijaykumar Yo Mahesh,929,2,1196,52,4-23,23,2,0,17.86,7.72
Vikram Rajvir Singh,667,0,886,31,4-24,28.58,1,0,21.51,7.97
Vikramjeet Malik,827,3,1012,44,3-18,23,0,0,18.79,7.34
Vikrant Shyam Yeligati,78,0,109,2,2-23,54.5,0,0,39,8.38
Virat Kohli,454,0,661,8,2-25,82.62,0,0,56.75,8.73
Virender Sehwag,358,0,496,22,3-14,22.54,0,0,16.27,8.31
Visvajitsinh Dilipsinh Solanki,153,0,164,6,2-26,27.33,0,0,25.5,6.43
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,5,1278,64,3-16,19.96,0,0,17.67,6.77
Wayne Dillon Parnell,2912,7,3646,146,4-13,24.97,3,0,19.94,7.51
Wilkin Arvind Mota,249,1,298,11,3-29,27.09,0,0,22.63,7.18
Yalaka Gnaneswara Rao,114,0,162,1,1-18,162,0,0,114,8.52
Yalaka Venugopal Rao,306,0,448,8,2-23,56,0,0,38.25,8.78
Yashpal Singh,218,1,249,9,3-26,27.66,0,0,24.22,6.85
Yogesh Nagar,285,0,350,21,3-13,16.66,0,0,13.57,7.36
Yusuf Adam Abdulla,1187,4,1248,63,4-31,19.8,2,0,18.84,6.3
Yusuf Khan Pathan,2121,1,2708,94,4-10,28.8,2,0,22.56,7.66
Yuvraj Singh,1501,0,1816,79,4-29,22.98,2,0,19,7.25
Yuzvendra Singh Chahal,1657,3,2021,85,4-25,23.77,1,0,19.49,7.31
Zaheer Khan,2803,5,3489,129,4-17,27.04,2,0,21.72,7.46
