Bodapati Apparao Sumanth,27.66,122.66
Bradley James Haddin,24.06,125.14
Bradley John Hodge,36.72,131.25
Brendon Barrie McCullum,31.32,137.07
Brett Geeves,22.16,135.71
Brett Lee,13.86,131.23
Callum James Ferguson,21.63,117.24
Cameron Leon White,30.56,127.99
Carlos Ricardo Brathwaite,14.22,153.29
Chamara Kantha Kapugedera,21.63,131.33
Chandan Madan,23.92,110.28
Chandrasekharan Ganapathy,4.11,94.87
Charl Kenneth Langeveldt,10.25,85.41
Chetanya Nanda,6.66,100
Cheteshwar Arvindbhai Pujara,25.66,105.81
Chidambaram Muralidharan Gautam,17.16,108.7
Christopher Austin Lynn,32,140.85
Christopher Henry Gayle,42.03,150.66
Christopher Henry Morris,25.16,152.37
Christopher James Jordan,18.96,120.95
Clinton James McKay,12.75,120.85
Colin Alexander Ingram,27.45,133.66
Colin Munro,27.77,145.34
Congenige Randhi Dilhara Fernando,4.7,92.15
Corey James Anderson,22.85,133.29
Dale Willem Steyn,8,114.28
Damien Richard Martyn,29.16,149.57
Daniel Joseph Harris,29.77,127.51
Daniel Luca Vettori,16.01,119.65
Daniel Trevor Christian,21.78,132.27
Darren Julius Garvey Sammy,19.77,138.3
Darren Scott Lehmann,29.3,117.95
David Andrew Miller,34.83,137.39
David Andrew Warner,34.77,143.58
David Johan Jacobs,25.89,117.69
David John Hussey,30.56,133.06
David Wiese,20.61,150.14
Debabrata Baidya Das,27.88,129.31
Deepak Hooda,14.58,131.9
Deepak Lokandersingh Chahar,2.8,87.5
Demuni Nuwan Tharanga Zoysa,20.3,118.02
Denagamage Proboth Mahela de Silva Jayawardene,28.61,129.92
Devraj Thyagaraj Patil,18.23,113.94
Dharaka Bhanidipati Ravi Teja,22.83,109.84
Dhawal Sunil Kulkarni,12.9,99.3
Dillon du Preez,20.21,130.52
Dinesh Salunkhe,16.5,137.5
Dirk Peter Nannes,8.25,83.54
Dishant Harendra Yagnik,17.46,113.38
Doddapaneni Kalyankrishna,2,50
Dominic John Thornely,21.02,117.52
Domnic Joseph Muthuswami,3,60
Douglas Andrew John Bracewell,28.5,144.76
Douglas Erwin Bollinger,6.8,95.77
Dwayne John Bravo,25.24,124.93
Dwayne Romel Smith,26.23,127.55
Eklavya Rakesh Dwivedi,37.57,131.28
Eoin Joseph Gerard Morgan,26.84,128.66
Faiz Yakub Fazal,20.36,105.41
Farhaan Behardien,29.79,124.28
Fidel Henderson Edwards,5.8,83.65
Francois du Plessis,27.56,123.97
Gade Hanuma Vihari,21.02,106.93
Gagandeep Singh Toor,12,88.88
Gautam Gambhir,28.62,120.78
George Bradley Hogg,14.78,106.58
George John Bailey,28.38,131.14
Glenn Donald McGrath,3,50
Glenn James Maxwell,23.74,156.1
Graeme Craig Smith,29.86,123.08
Graham Richard Napier,15.66,148.33
Gurinder Singh Sandhu,6.25,78.12
Gurkeerat Singh Mann,21.52,122.98
Halhadar Michu Das,18.4,96.84
Harbhajan Singh,16.55,138.81
Hardik Himanshu Pandya,25.05,122.64
