Jacob David Philip Oram,1839,81,7.84
Jacques Henry Kallis,2747,114,7.6
Jagadeesha Suchith,432,18,7.83
Jagrit Anand,19,0,10.73
Jalaj Sahay Saxena,611,32,7.01
Jamaluddin Syed Mohammad,750,35,7.59
James Douglas Sheehan Neesham,991,57,8.62
James Edward Charles Franklin,2123,96,8.28
James Peter Faulkner,2792,158,7.86
James Redfern Hopes,1702,67,7.94
Jaskaran Singh Butta,275,12,8.09
Jason Omar Holder,1373,54,7.59
Jasprit Jasbirsingh Bumrah,1832,95,7.23
Jayant Yadav,502,15,5.97
Jaydev Dipakbhai Unadkat,1386,78,7.51
Jean-Paul Duminy,1514,67,7.54
Jerome Everton Taylor,1546,87,7.76
Jesse Daniel Ryder,915,33,7.86
Joginder Sharma,1123,55,7.18
Johan Botha,3672,146,6.42
Johannes Albertus Morkel,4697,230,7.66
Johannes Jacobus van der Wath,2185,108,7.58
John Wayne Hastings,1718,96,7.57
Juan Theron,2586,135,7.21
Justin Miles Kemp,1016,56,7.51
Kamran Khan,208,12,8.65
Kane Stuart Williamson,716,27,7.07
Kane William Richardson,1184,61,8.01
Karan Goel,193,10,7.02
Karanveer Singh,302,18,8.96
Karn Vinod Sharma,1483,69,7.45
Karun Kaladharan Nair,48,2,6.87
Kathuria Anureet Singh,878,42,8.13
Kedar Mahadeo Jadhav,60,4,8.8
Kemar Andre Jamal Roach,864,27,7.9
Kevin Peter Pietersen,396,17,8.09
Kevon Keston Cooper,2821,165,7.16
Khan Abdur Razzak,1594,92,6.93
Kieron Adrian Pollard,3854,219,8.01
Konda Bhaskar Arun Karthik,24,2,11
Konganda Charamanna Cariappa,204,11,8.44
Kotragada Prabhu Appanna,414,21,7.68
Krishankumar Dinesh Karthik,12,1,5
Krishmar Santokie,1988,144,6.86
Krishnakant Rameshwar Upadhyay,421,20,7.76
Krunal Himashu Pandya,449,22,6.61
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,2081,111,7.19
Kuldeep Yadav,520,37,7.2
Kyle John Abbott,1905,87,7.93
Lakshmipathy Balaji,2161,126,7.76
Laxmi Ratan Shukla,976,47,7.11
Lee Andrew Carseldine,84,7,8.07
Lendl Mark Platter Simmons,370,22,8.62
Lindamlilage Prageeth Chamara Silva,24,1,9
Lovesh Ablash,456,36,6.56
Luke James Wright,1799,79,8.54
Luteru Ross Poutoa Lote Taylor,186,8,9.03
Magina Thilan Thushara Mirando,1066,67,7.42
Mahendra Singh Dhoni,12,0,12.5
Makhaya Ntini,1263,63,7.48
Mandeep Singh,195,13,5.93
Manish Krishnanand Pandey,168,10,7.57
Manoj Kumar Tiwary,318,16,7.96
Manpreet Singh Gony,1433,69,7.65
Marchant de Lange,968,53,8.76
Marcus Peter Stoinis,264,19,7.88
Marlon Nathaniel Samuels,1501,66,7.03
Martin James Guptill,12,0,9.5
Mashrafe Bin Mortaza,2151,84,7.73
Mayank Anurag Agarwal,6,0,8
Michael Edward Killeen Hussey,6,0,5
Michael Gertges Neser,576,32,8.64
Michael John Buchanan,12,1,12
Michael John Clarke,273,9,8.08
Michael John Lumb,36,3,10.83
Mitchell Aaron Starc,1860,127,7.14
Mitchell Guy Johnson,1804,94,7.84
Mitchell John McClenaghan,2169,134,7.98
Mitchell Ross Marsh,695,37,8.14
Mithun Manhas,104,5,8.25
Mohamed Farveez Maharoof,1656,88,7.35
Mohammad Ashraful,335,23,7.95
Mohammad Asif,832,50,7.62
Mohammad Hafeez,2939,135,6.23
Mohammad Imran Tahir,2862,156,6.88
Mohammad Mustafizur Rahman,943,57,6.33
Mohammad Younis Khan,104,6,7.84
Mohammed Shami,1053,60,7.84
Mohit Sharma,1584,87,8.03
Mohnish Bipinbhai Parmar,138,4,8.52
Moises Constantino Henriques,2072,101,8.12
Morne Morkel,3526,174,7.42
Munaf Musa Patel,2039,100,6.84
Murali Kartik,3069,110,6.74
Murali Vijay,60,0,6.8
Murugan Ashwin,309,17,7.14
Musavir Asmat Khote,132,6,8.5
