RPSBattingOrder,AM Rahane,F du Plessis,KP Pietersen,SPD Smith,MS Dhoni,MR Marsh,R Bhatia,R Ashwin,I Sharma,RP Singh,M Ashwin,,,,,,,,,
RPSBowlingOrder,RP Singh,I Sharma,RP Singh,I Sharma,R Ashwin,M Ashwin,R Bhatia,MR Marsh,M Ashwin,R Ashwin,M Ashwin,R Ashwin,R Bhatia,I Sharma,R Ashwin,I Sharma,M Ashwin,R Bhatia,RP Singh,
RPSBowlers,RP Singh,I Sharma,R Ashwin,M Ashwin,R Bhatia,MR Marsh,,,,,,,,,,,,,,
GLBattingOrder,AJ Finch,BB McCullum,SK Raina,DJ Bravo,RA Jadeja,KD Karthik,AD Nath,JP Faulkner,P Kumar,SB Jakati,P Kumar,PV Tambe,,,,,,,,
GLBowlingOrder,P Kumar,SB Jakati,P Kumar,PV Tambe,SB Jakati,DJ Bravo,RA Jadeja,PV Tambe,RA Jadeja,PV Tambe,SB Jakati,JP Faulkner,SB Jakati,DJ Bravo,JP Faulkner,PV Tambe,RA Jadeja,DJ Bravo,RA Jadeja,DJ Bravo
GLBowlers,P Kumar,SB Jakati,PV Tambe,DJ Bravo,RA Jadeja,JP Faulkner,,,,,,,,,,,,,,
Teams,Rising Pune Supergiants,Gujarat Lion,,,,,,,,,,,,,,,,,,
