KKRBattingOrder,RV Uthappa,G Gambhir,MK Pandey,AD Russell,YK Pathan,C Munro,SA Yadav,PP Chawla,John Wayne Hastings,Kuldeep Yadav,GB Hogg,,,,,,,,,
KKRBowlingOrder,AD Russell,John Wayne Hastings,AD Russell,GB Hogg,John Wayne Hastings,GB Hogg,PP Chawla,Kuldeep Yadav,PP Chawla,Kuldeep Yadav,PP Chawla,Kuldeep Yadav,John Wayne Hastings,Kuldeep Yadav,GB Hogg,AD Russell,GB Hogg,John Wayne Hastings,AD Russell,PP Chawla
KKRBowlers,AD Russell,John Wayne Hastings,GB Hogg,PP Chawla,Kuldeep Yadav,,,,,,,,,,,,,,,
MIBattingOrder,RG Sharma,PA Patel,HH Pandya,MJ McClenaghan,JC Buttler,KA Pollard,AT Rayudu,Harbhajan Singh,J Suchith,TG Southee,JJ Bumrah,,,,,,,,,
MIBowlingOrder,TG Southee,JJ Bumrah,TG Southee,MJ McClenaghan,TG Southee,MJ McClenaghan,HH Pandya,Harbhajan Singh,J Suchith,Harbhajan Singh,J Suchith,MJ McClenaghan,JJ Bumrah,Harbhajan Singh,TG Southee,Harbhajan Singh,JJ Bumrah,MJ McClenaghan,HH Pandya,JJ Bumrah
MIBowlers,TG Southee,JJ Bumrah,HH Pandya,MJ McClenaghan,Harbhajan Singh,J Suchith,,,,,,,,,,,,,,
Teams,Kolkota Knight Rider,Mumbai Indians,,,,,,,,,,,,,,,,,,
