Batsman_name,avgScore,avgStrikeRate,CLUSTER
Kedar Mahadeo Jadhav,24.53,138.45,3
Kemar Andre Jamal Roach,7.37,113.46,8
Kevin Peter Pietersen,34.74,136.13,3
Kevon Keston Cooper,11.53,135.49,4
Khan Abdur Razzak,8.68,89.67,2
Kieron Adrian Pollard,30.84,151.85,9
Konda Bhaskar Arun Karthik,18.27,122.56,4
Konganda Charamanna Cariappa,13,118.18,4
Kotragada Prabhu Appanna,13,130,4
Krishankumar Dinesh Karthik,24.06,127.62,7
Krishmar Santokie,8.58,92.99,2
Krishnakant Rameshwar Upadhyay,4.75,79.16,2
Krunal Himashu Pandya,31.07,164.89,9
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,10.27,122.51,4
Kuldeep Yadav,22,122.22,0
Kumar Chokshanada Sangakkara,29.23,126.9,7
Kyle John Abbott,13,110.16,8
Lakshmipathy Balaji,4.9,87.09,2
Laxmi Ratan Shukla,20.7,120.63,0
Lee Andrew Carseldine,31.36,125.21,7
Lendl Mark Platter Simmons,30.63,115.61,0
Lindamlilage Prageeth Chamara Silva,24.46,119.98,0
Lokesh Sharma,16,160,9
Lovesh Ablash,1,50,5
Luke Anthony Pomersbach,26.14,129.91,7
Luke James Wright,28.54,145.98,3
Luke Ronchi,18.64,139.8,3
Luteru Ross Poutoa Lote Taylor,30.6,133.4,7
Magina Thilan Thushara Mirando,11.09,112.01,8
Mahendra Singh Dhoni,37.53,135.82,3
Mahesh Rawat,24.3,116.39,0
Makhaya Ntini,5,69.76,5
Manan Vohra,26.45,126.78,7
Mandeep Singh,25.65,122.62,0
Manish Krishnanand Pandey,25.87,117.52,0
Manoj Kumar Tiwary,29.61,113.32,0
Manpreet Singh Gony,14.13,144.65,9
Manprit Charanjit Juneja,31.1,126.04,7
Manvinder Bisla,21.7,110.7,8
Marchant de Lange,10.5,118.86,4
Marcus Peter Stoinis,20.2,115.09,0
Mark Verdon Boucher,28.12,115.5,0
Marlon Nathaniel Samuels,31.87,118,0
Martin James Guptill,34.21,127.92,7
Mashrafe Bin Mortaza,13.28,130.7,4
Mathurage Don Kusal Janith Perera,20.76,126.22,4
Matthew Lawrence Hayden,36.26,136.91,3
Matthew Scott Wade,21.54,121.46,0
Mayank Anurag Agarwal,22.72,127.16,7
Michael Edward Killeen Hussey,37.45,124.9,7
Michael Gertges Neser,19.8,111.86,8
Michael John Buchanan,15,127.65,4
Michael John Clarke,21.05,108.22,8
Michael John Lumb,24.5,138.37,3
Michael Klinger,38.91,127.03,7
Misbah-ul-Haq Khan Niazi,34.07,118.69,0
Mitchell Aaron Starc,8.26,87.32,2
Mitchell Guy Johnson,11.2,103.7,8
Mitchell John McClenaghan,9.14,136.17,4
Mitchell Ross Marsh,29.21,120.26,0
Mithun Manhas,22.04,104.75,8
Mohamed Farveez Maharoof,17.93,119.41,0
Mohammad Ashraful,23.21,117.54,0
Mohammad Asif,4.33,86.66,2
Mohammad Hafeez,24.12,124.55,0
Mohammad Imran Tahir,9.07,122.91,4
Mohammad Kaif,22.07,105.97,8
Mohammad Mustafizur Rahman,2.25,69.23,5
